Parameter,Value,ID,User,Time,Detail
JJ_X,45,12345,jafeth-calderon-ma,22/05/2025 08:34 PM,SECTION
JJ_G,47,45678,jafeth-calderon-ma,22/05/2025 04:44 PM,OPTION
Conversion,72193,12345,Kaur-Baljeet,22/05/2025 05:07PM,
JJ_X,48,73334,jafeth-calderon-ma,23/05/2025 10:57 AM,SECTION2
Report Pack,874,23355,jafeth-calderon-ma,23/05/2025 11:20 AM,
JJ_M,49,34222,jafeth-calderon-ma,23/05/2025 11:22 AM,REC
Conversion,72200,45222,jafeth-calderon-ma,23/05/2025 11:38 AM,
Report Pack,875,56344,jafeth-calderon-ma,23/05/2025 11:39 AM,
JJ_0,50,646456,jafeth-calderon-ma,23/05/2025 01:49 PM,OPT1
JJ_P,51,32456,jafeth-calderon-ma,23/05/2025 03:47 PM,YXZ
JJ_P,54,76575,jafeth-calderon-ma,23/05/2025 03:58 PM,XYZ
JJ_U,55,34456,jafeth-calderon-ma,23/05/2025 03:59 PM,XYZ
Conversion,72230,AGM-20,Kaur-Baljeet,27/05/2025 11:02 AM,
Conversion,72240,AGM-20,Kaur-Baljeet,27/05/2025 11:06 AM,
Conversion,72250,AGM-20,Kaur-Baljeet,27/05/2025 11:18 AM,
Report Pack,877,AGM-20,Kaur-Baljeet,27/05/2025 11:21 AM,
Conversion,72260,AGM-20,Kaur-Baljeet,27/05/2025 12:02 PM,
